year,january,february,march,april,may,june,july,august,september,october,november,december
1990,-3.14,-3.16,0.77,6.59,11.9,16.1,17.8,17.6,13.4,8.09,2.7,-1.82
1991,-2.23,-1.47,1.8,6.2,12.5,16.6,19.1,17.8,13.4,8.5,2.10,-1.63
1992,-2.43,-4.13,1.3,7.29,13.1,16.8,19.1,17.8,13.1,7.5,1.7,-1.24
1993,-1.12,-2.16,1.39,7,12.1,16.6,18.6,17.6,13.1,7.29,3.10,-1.63
1994,-3.95,-2.60,-0.260,6.4,11.6,16.3,18.6,17.8,13.5,8.59,2.60,-0.014
1995,-1.7,-0.739,0.489,6.29,11.6,16.3,18.8,17.8,13.1,7.2,3.10,-1.53
1996,-2.27,-1.22,1.5,6.79,12.1,16.8,19.1,18,12.8,7.29,0.969,-1.86
1997,-3.5,-2.27,0.989,7.5,12.6,16.6,18.6,18.6,13.9,8.13,2.79,-0.140
1998,-2.33,-2.33,1.3,7.59,12.6,16.6,19.5,18,13.3,8,1.5,-1.26
1999,-2.68,-1.54,2,7.29,12.8,16.6,19.3,18.3,13.4,8.4,3.7,-0.66
2000,-2.93,-0.88,2.29,7.2,12.9,17.1,19,18.1,14.3,8.30,2.79,-1.23
2001,-3.47,-1.97,1,7.09,12.3,16.8,18.5,18.3,14,7.2,3,-0.53
2002,-2.74,-1.81,1,6.2,11.6,16.8,19.1,18.3,13.5,8.30,4,-0.8
2003,-3.50,-2.62,1.2,6.79,12.8,16.6,18.8,17.8,13.8,8.80,2.89,-1.07
2004,-2.12,-0.429,2.60,7.09,12.6,15.8,19.1,18.3,14,8.5,3.2,-0.63
2005,-3.10,-2.91,1.89,8.59,13,17.3,19.8,18.3,14.3,9,2,-1.27
2006,-2.5,-2.16,1.3,7,12,16,18.3,17.8,14.3,8.30,2.2,-3.06
2007,-4.09,-4.16,1,6.59,12,16.8,18.8,18.8,13.3,7.5,2.5,-1.81
2008,-4.37,-2.66,1.5,7.59,12.3,16.1,18.3,17.8,13.8,8.09,2.5,0.11
2009,-2.62,-1.34,0.53,6.7,12.8,16.6,18.6,18,13.8,7.79,3.39,-0.609
2010,-2.02,-0.87,2.29,7,12,17.6,19.3,18.1,14,9.09,1.7,-1.04
2011,-3.25,-1.89,0.023,6.59,12.3,17.8,19.6,18.6,13.5,8.4,2.2,-0.696
2012,-2.08,-2,0.56,7.7,12.5,16.8,18.8,18.3,13.8,8.5,3.29,-0.8
2013,-4.08,-1.62,2.10,7.59,12.9,16.8,19.8,17.6,13.9,9.09,2.79,-0.68
2014,-1.23,-2.08,1.60,7.59,13.6,17.1,19.6,18.3,14.5,9,3.79,-0.37
2015,-2.23,-3.12,0.579,6.4,12.8,16.8,19.1,18.5,13.4,8.09,1.8,-0.62
2016,-0.849,-1.46,2.10,7.5,12.4,16.6,19.6,18.6,14.3,8.5,2.29,-0.31
2017,-2.33,-3.52,0.859,6.9,13.1,17.3,19.6,18.5,13.1,8.63,4,-0.050
2018,-2.60,-0.44,2.5,7.29,12.1,17.6,19.6,17.8,14.1,9.09,3.10,-1.12
2019,-3.06,-1.78,1.89,7.5,12.6,17.1,18.8,18.3,13.6,8.13,3.2,0.408
2020,-2.85,-3.16,1.2,6.9,13.6,17.1,19.6,18.1,14.9,8.63,3.7,-0.38
